"routine_name"	"routine_type"	"data_type"	"specific_name"
"analyze_lab_trend"	"FUNCTION"	"record"	"{p_patient_id,p_indicator,record_date,indicator_value,prev_value,change_rate,trend,data_count}"
"analyze_multimodal_evidence"	"FUNCTION"	"jsonb"	"{p_patient_id}"
"apply_confidence_calibration"	"FUNCTION"	"numeric"	"{p_model_key,p_raw_confidence}"
"auto_analyze_ct_trigger"	"FUNCTION"	"trigger"	
"bytea_to_text"	"FUNCTION"	"text"	"{data}"
"calibrate_confidence"	"FUNCTION"	"jsonb"	"{p_model_key,p_predictions,p_labels,p_method}"
"compute_evidence_profile"	"FUNCTION"	"jsonb"	"{p_context}"
"compute_risk_profile"	"FUNCTION"	"jsonb"	"{p_context,p_evidence}"
"consistency_check"	"FUNCTION"	"jsonb"	"{p_patient_id,p_diagnosis_id}"
"detect_lab_anomaly"	"FUNCTION"	"record"	"{p_patient_id,p_indicator,current_value,historical_avg,historical_stddev,deviation_level,is_anomaly,data_count}"
"evaluate_ct_quality"	"FUNCTION"	"numeric"	"{p_ct}"
"evaluate_lab_quality"	"FUNCTION"	"numeric"	"{p_lab,p_anomaly_count}"
"evaluate_text_quality"	"FUNCTION"	"numeric"	"{p_text}"
"extract_key_evidence"	"FUNCTION"	"jsonb"	"{p_patient_id}"
"extract_weighted_evidence"	"FUNCTION"	"jsonb"	"{p_patient_id,p_version}"
"generate_ai_diagnosis"	"FUNCTION"	"jsonb"	"{p_context,p_evidence,p_risk}"
"generate_diagnosis"	"FUNCTION"	"jsonb"	"{p_patient_id}"
"get_multimodal_data"	"FUNCTION"	"record"	"{p_patient_id,patient_info,text_data,ct_data,lab_data}"
"get_multimodal_patient_data"	"FUNCTION"	"record"	"{p_patient_id,patient_id,patient_name,age,gender,text_summary,text_created_at,ct_image_url,ct_analysis,ct_body_part,ct_created_at,lab_data,lab_created_at,existing_diagnosis}"
"http"	"FUNCTION"	"http_response"	"{request}"
"http_delete"	"FUNCTION"	"http_response"	"{uri,content,content_type}"
"http_delete"	"FUNCTION"	"http_response"	"{uri}"
"http_get"	"FUNCTION"	"http_response"	"{uri,data}"
"http_get"	"FUNCTION"	"http_response"	"{uri}"
"http_head"	"FUNCTION"	"http_response"	"{uri}"
"http_header"	"FUNCTION"	"http_header"	"{field,value}"
"http_headers"	"FUNCTION"	"http_header[]"	"{args}"
"http_list_curlopt"	"FUNCTION"	"record"	"{curlopt,value}"
"http_patch"	"FUNCTION"	"http_response"	"{uri,content,content_type}"
"http_post"	"FUNCTION"	"http_response"	"{uri,content,content_type}"
"http_post"	"FUNCTION"	"http_response"	"{uri,data}"
"http_put"	"FUNCTION"	"http_response"	"{uri,content,content_type}"
"http_reset_curlopt"	"FUNCTION"	"boolean"	
"http_set_curlopt"	"FUNCTION"	"boolean"	"{curlopt,value}"
"learn_evidence_weights"	"FUNCTION"	"jsonb"	"{p_train_window_days,p_learning_rate,p_max_iterations,p_convergence_threshold}"
"persist_diagnosis_result"	"FUNCTION"	"jsonb"	"{p_patient_id,p_context,p_ai_result,p_evidence,p_risk,p_confidence,p_calibrated_confidence}"
"prepare_diagnosis_context"	"FUNCTION"	"jsonb"	"{p_patient_id}"
"random_chinese_name"	"FUNCTION"	"text"	
"random_ct_analysis"	"FUNCTION"	"text"	
"random_symptom"	"FUNCTION"	"text"	
"smart_diagnosis"	"FUNCTION"	"record"	"{p_patient_id,diagnosis_level,risk_score,recommendations,evidence,analysis_details}"
"smart_diagnosis_v2"	"FUNCTION"	"jsonb"	"{p_patient_id}"
"smart_diagnosis_v3"	"FUNCTION"	"jsonb"	"{p_patient_id}"
"text_to_bytea"	"FUNCTION"	"bytea"	"{data}"
"to_fhir"	"FUNCTION"	"jsonb"	"{p_patient_id}"
"update_updated_at_column"	"FUNCTION"	"trigger"	
"urlencode"	"FUNCTION"	"text"	"{string}"
"urlencode"	"FUNCTION"	"text"	"{string}"
"urlencode"	"FUNCTION"	"text"	"{data}"
